"id","user_age","user_gender","user_personality_type","user_parents_status","user_body_type","hair_length","unusual_hairstyle","appearance","unusual_appearance"
"1","0","2","7","1","0","2","0","0","0"
"2","0","2","5","5","6","0","1","4","0"
"3","20","1","7","1","3","0","1","4","1"
"4","21","1","3","1","3","0","1","4","1"
"5","0","1","7","1","3","0","1","4","1"
"6","0","2","7","1","4","0","1","0","1"
"7","0","2","5","5","6","0","1","4","0"
"8","0","1","3","1","4","0","1","4","1"
"9","18","2","10","1","3","3","1","4","0"
"10","18","1","7","1","4","0","1","4","1"
"11","20","1","8","1","0","0","1","4","1"
"12","18","1","7","1","0","0","1","4","1"
"13","20","1","10","1","4","0","1","4","1"
"14","18","2","5","1","2","4","1","0","1"
"15","0","1","15","2","0","2","0","4","0"
"16","25","1","13","3","0","6","0","4","0"
"17","27","1","4","1","0","0","1","4","0"
"18","19","1","7","1","3","0","1","0","1"
"19","25","1","5","1","3","0","0","4","0"
"20","24","1","5","1","3","0","1","4","1"
"21","26","1","13","1","0","0","1","4","1"
"22","19","1","7","1","2","0","1","4","1"
"23","18","1","12","2","0","0","0","4","0"
"24","19","1","11","1","0","0","1","4","0"
"25","25","1","3","1","3","6","0","0","0"
"26","18","1","3","1","7","0","1","4","1"
"27","18","1","7","1","0","0","1","4","1"
"28","0","1","7","1","2","0","1","4","1"
"29","19","1","4","1","3","0","1","4","1"
"30","21","1","5","1","6","1","1","4","1"
"31","21","1","3","1","4","0","1","4","1"
"32","19","1","7","1","0","0","1","4","1"
"33","19","1","7","1","2","0","1","4","1"
"34","19","1","7","1","2","0","1","4","0"
"35","22","1","9","2","0","0","1","4","1"
"36","21","1","7","1","4","0","1","4","1"
"37","20","1","7","1","0","0","1","4","1"
"38","29","1","7","3","3","0","1","4","1"
"39","18","1","3","1","3","0","1","4","1"
"40","20","1","7","2","9","0","1","4","1"
"41","18","1","15","1","6","0","1","4","0"
"42","20","1","1","3","2","0","1","4","1"
"43","21","1","8","1","1","0","1","4","0"
"44","25","1","7","1","0","0","1","0","1"
"45","18","1","7","1","3","0","1","4","1"
"46","21","2","6","1","0","0","1","0","1"
"47","23","1","11","1","2","0","1","4","1"
"48","23","1","7","1","0","0","1","4","1"
"49","22","1","15","2","0","6","1","4","1"
"50","23","1","7","1","3","0","1","4","1"
"51","21","2","6","1","5","0","0","4","1"
"52","18","1","7","1","4","0","1","0","1"
"53","23","1","3","6","3","0","1","4","1"
"54","18","1","7","1","0","0","1","4","1"
"55","18","1","7","1","2","0","1","0","1"
"56","18","1","7","1","0","0","1","0","1"
"57","18","1","15","1","8","0","1","4","1"
"58","21","1","7","1","6","0","1","4","1"
"59","22","2","8","1","0","3","1","4","1"
"60","21","1","7","1","2","0","1","4","0"
"61","19","1","7","1","0","0","1","4","1"
"62","20","1","7","1","0","0","1","4","1"
"63","23","1","5","3","0","0","1","4","1"
"64","18","1","7","1","3","0","1","4","1"
"65","25","1","7","2","0","0","1","4","1"
"66","19","2","9","1","0","0","1","4","1"
"67","18","1","7","1","3","0","0","0","0"
"68","19","2","5","1","3","0","1","4","1"
"69","18","1","3","1","2","0","1","4","1"
"70","18","1","7","2","6","0","1","4","1"
"71","20","1","1","1","0","6","1","4","1"
"72","18","1","5","1","0","0","0","2","0"
"73","18","1","7","1","0","0","1","0","0"
"74","0","1","7","1","0","0","1","4","1"
"75","18","1","5","1","0","0","1","4","1"
"76","18","1","3","1","4","0","1","4","1"
"77","18","1","8","1","0","0","1","4","1"
"78","27","1","7","1","2","0","1","0","1"
"79","18","1","7","1","6","0","0","2","0"
"80","22","2","3","1","2","4","0","4","1"
"81","18","1","8","2","0","0","0","4","0"
"82","24","1","7","2","0","0","1","4","1"
"83","18","1","3","2","4","0","1","4","1"
"84","22","1","15","1","0","0","1","0","0"
"85","27","1","6","1","0","0","1","4","1"
"86","24","2","2","1","3","0","1","4","1"
"87","0","1","6","0","7","0","1","4","0"
"88","0","2","7","0","2","3","0","4","1"
"89","0","2","10","0","6","0","1","4","1"
"90","0","1","6","0","2","0","1","4","1"
"91","18","2","13","0","0","3","1","4","1"
"92","0","2","6","0","0","0","1","4","1"
"93","0","2","7","0","0","0","1","4","1"
"94","40","2","11","0","0","3","1","4","1"
"95","0","1","3","0","0","0","1","4","1"
"96","45","2","6","0","2","3","1","4","1"
"97","46","1","15","0","4","0","1","4","1"
"98","27","1","7","0","0","0","1","4","0"
"99","0","1","7","0","0","0","1","4","1"
"100","26","2","5","2","2","3","1","4","1"
"101","27","1","5","2","6","0","1","4","1"
"102","42","1","12","7","3","0","1","4","1"
"103","35","1","5","1","4","0","1","4","1"
"104","40","1","7","1","3","0","1","4","1"
"105","28","1","5","1","0","0","1","4","1"
"106","39","1","7","1","6","0","1","4","1"
